,GRANJA,FECHA RECEPCION,t2m_min_weekFR,t2m_max_weekFR,rh2m_mean_WFR,N°INICIAL,PESO  M,GANA M,% DESCARTE SEM 1,DESCARTE SEM 1,FECHA SEM 1,t2m_min_weekF1,t2m_max_weekF1,rh2m_mean_WF1,SALDO AVES SEM 1,PESO M SEM 1,CONS  SEM 1,MORT SEM 1,CONV SEM 1,FECHA SEM 2,t2m_min_weekF2,t2m_max_weekF2,rh2m_mean_WF2,SALDO AVES SEM 2,PESO M SEM 2,CONS  SEM 2,MORT SEM 2,CONV SEM 2,FECHA SEM 3,t2m_min_weekF3,t2m_max_weekF3,rh2m_mean_WF3,SALDO AVES SEM 3,PESO M SEM 3,CONS  SEM 3,MORT SEM 3,CONV SEM 3,FECHA SEM 4,t2m_min_weekF4,t2m_max_weekF4,rh2m_mean_WF4,SALDO AVES SEM 4,PESO M SEM 4,CONS  SEM 4,MORT SEM 4,CONV SEM 4,FECHA SEM 5,t2m_min_weekF5,t2m_max_weekF5,rh2m_mean_WF5,SALDO AVES SEM 5,PESO M SEM 5,CONS  SEM 5,MORT SEM 5,CONV SEM 5,36PESO,36DATE,rh2m_36,t2m_max_36,t2m_min_36,37PESO,37DATE,rh2m_37,t2m_max_37,t2m_min_37,38PESO,38DATE,rh2m_38,t2m_max_38,t2m_min_38,39PESO,39DATE,rh2m_39,t2m_max_39,t2m_min_39,40PESO,40DATE,rh2m_40,t2m_max_40,t2m_min_40,41PESO,41DATE,rh2m_41,t2m_max_41,t2m_min_41,42PESO,42DATE,rh2m_42,t2m_max_42,t2m_min_42,43PESO,43DATE,rh2m_43,t2m_max_43,t2m_min_43,44PESO,44DATE,rh2m_44,t2m_max_44,t2m_min_44,FECHA_FAENA,EDAD,PESO REAL,m.s.n.m
0,TORCOROMA,2020-11-27,15.94,28.07,80.17857142857143,39267.0,0.038,4.131578947368421,0.015864661,633.0,2020-12-04,14.44,28.88,76.50142857142858,38779.0,0.157,0.1423,1.2427738304428655,0.90636945,2020-12-04,14.44,28.88,76.50142857142858,38261.0,0.383,0.4626,2.5619476,1.2078329,2020-12-04,14.44,28.88,76.50142857142858,37773.0,0.652,0.9779,3.804721521888609,1.4998466,2020-12-04,14.44,28.88,76.50142857142858,37689.0,1.15,1.7209,4.018641607456643,1.4964348,2020-12-04,14.44,28.88,76.50142857142858,37596.0,1.757,2.699,4.2554817021926805,1.5361412,1.874,2021-01-02,80.5,26.1,16.08,1.948,2021-01-03,79.62,26.18,15.49,2.021,2021-01-04,82.0,25.19,15.33,2.0940000000000003,2021-01-05,71.62,25.7,11.9,2.166,2021-01-06,72.88,24.26,14.95,2.238,2021-01-07,82.56,23.94,16.52,2.309,2021-01-08,80.56,25.03,15.66,2.38,2021-01-09,77.25,26.15,15.83,2.451,2021-01-10,78.0,26.36,15.28,2021-01-02,36.0,1.906136947349668,900
1,PORVENIR,2020-11-28,15.94,28.07,79.40142857142858,8160.0,0.037,4.378378378378378,0.025904262,217.0,2020-12-05,14.44,28.88,76.13571428571427,7905.0,0.162,0.149,3.125,0.9197531,2020-12-05,14.44,28.88,76.13571428571427,7820.0,0.351,0.462,4.1666665,1.3162394,2020-12-05,14.44,28.88,76.13571428571427,7785.0,0.588,0.9,4.595588235294118,1.5306122,2020-12-05,14.44,28.88,76.13571428571427,7744.0,1.034,1.663,5.098039215686274,1.6083173,2020-12-05,14.44,28.88,76.13571428571427,7741.0,1.609,2.654,5.134803921568627,1.6494718,1.6323333333333334,2021-01-03,79.62,26.18,15.49,1.6703333333333334,2021-01-04,82.0,25.19,15.33,1.7619999999999998,2021-01-05,71.62,25.7,11.9,1.831,2021-01-06,72.88,24.26,14.95,1.903,2021-01-07,82.56,23.94,16.52,1.975,2021-01-08,80.56,25.03,15.66,2.046,2021-01-09,77.25,26.15,15.83,2.117,2021-01-10,78.0,26.36,15.28,2.188,2021-01-11,74.38,27.24,15.53,2021-01-06,39.0,1.788702928870293,980
2,BELLAVISTA,2020-12-01,15.94,28.07,77.62571428571428,43860.0,0.042,3.761904761904762,0.0022520986,99.0,2020-12-08,14.44,28.88,76.52857142857142,43097.0,0.158,0.135,1.739626082991336,0.8544304,2020-12-08,14.44,28.88,76.52857142857142,42865.0,0.388,0.449,2.2685819,1.1572165,2020-12-08,14.44,28.88,76.52857142857142,42706.0,0.679,0.943,2.6310989512083904,1.388807,2020-12-08,14.44,28.88,76.52857142857142,42614.0,1.107,1.67,2.8408572731418147,1.5085818,2020-12-08,14.44,28.88,76.52857142857142,42513.0,1.648,2.646,3.0711354309165526,1.6055825,1.7246666666666668,2021-01-06,72.88,24.26,14.95,1.8192222222222223,2021-01-07,82.56,23.94,16.52,1.8914444444444445,2021-01-08,80.56,25.03,15.66,1.9644444444444444,2021-01-09,77.25,26.15,15.83,2.0364444444444443,2021-01-10,78.0,26.36,15.28,2.1084444444444443,2021-01-11,74.38,27.24,15.53,2.179444444444444,2021-01-12,70.94,27.79,14.33,2.250444444444444,2021-01-13,64.62,28.83,13.94,2.3214444444444444,2021-01-14,67.81,28.66,16.58,2021-01-07,37.0,1.8706162991441904,1100
3,ROBLE,2020-12-05,14.05,28.1,76.34,40290.0,0.0379,3.469656992084433,0.017556693,720.0,2020-12-12,14.82,28.09,74.99142857142859,39385.0,0.1315,0.1162879268757141,2.246214941672872,0.8843188,2020-12-12,14.82,28.09,74.99142857142859,38946.0,0.338,0.4323935705849124,3.3358154,1.2792709,2020-12-12,14.82,28.09,74.99142857142859,38485.0,0.5956,0.9026893594907108,4.480019856043684,1.5155966,2020-12-12,14.82,28.09,74.99142857142859,38216.0,1.0373,1.6218337,5.147679324894515,1.5635147,2020-12-12,14.82,28.09,74.99142857142859,37971.0,1.6383,2.617787258697427,5.755770662695458,1.5978681,1.6922,2021-01-10,79.06,24.87,13.76,1.7662,2021-01-11,76.75,25.96,14.48,1.8462,2021-01-12,72.62,26.49,13.82,1.918,2021-01-13,68.88,27.3,12.9,1.99,2021-01-14,70.75,27.37,14.37,2.0620000000000003,2021-01-15,72.44,27.01,15.29,2.133,2021-01-16,74.56,25.9,14.55,2.204,2021-01-17,70.5,27.59,13.15,2.275,2021-01-18,67.5,28.13,14.39,2021-01-13,39.0,1.9158732572689816,1919
4,ROBLE,2020-12-08,14.05,28.1,76.80428571428571,60996.0,0.038900003,3.542049210429673,0.01232249,761.0,2020-12-15,12.57,28.44,70.92714285714285,60074.0,0.1377857142857143,0.1155241868362353,1.5115745294773428,0.8384337,2020-12-15,12.57,28.44,70.92714285714285,59727.0,0.3576428571428571,0.4339745843588327,2.0804644,1.21343,2020-12-15,12.57,28.44,70.92714285714285,59187.0,0.643,0.9157416324530724,2.96576824709817,1.4241705,2020-12-15,12.57,28.44,70.92714285714285,58900.0,1.088642857142857,1.6556876,3.436290904321595,1.5208731,2020-12-15,12.57,28.44,70.92714285714285,58540.0,1.684,2.6296549367953537,4.026493540560037,1.5615528,1.7577142857142858,2021-01-13,68.88,27.3,12.9,1.8262857142857143,2021-01-14,70.75,27.37,14.37,1.8951428571428568,2021-01-15,72.44,27.01,15.29,1.9681428571428567,2021-01-16,74.56,25.9,14.55,2.040142857142857,2021-01-17,70.5,27.59,13.15,2.112142857142857,2021-01-18,67.5,28.13,14.39,2.1831428571428573,2021-01-19,66.0,27.69,12.02,2.254142857142857,2021-01-20,63.06,28.65,10.51,2.325142857142857,2021-01-21,70.56,27.19,14.61,2021-01-14,37.0,1.8193549171844032,1919
5,GRANADA,2020-12-09,14.44,28.88,75.48428571428572,20604.0,0.039,3.9743589743589753,0.008803579,183.0,2020-12-16,13.51,29.16,70.83,20359.0,0.155,0.146,1.1890894971850126,0.9419355,2020-12-16,13.51,29.16,70.83,20128.0,0.388,0.47,2.310231,1.2113402,2020-12-16,13.51,29.16,70.83,19986.0,0.752,1.006,2.999417588817705,1.3377659,2020-12-16,13.51,29.16,70.83,19896.0,1.219,1.775,3.43622597553873,1.4561116,2020-12-16,13.51,29.16,70.83,19797.0,1.728,2.772,3.9167152009318578,1.6041666,1.8213333333333328,2021-01-14,67.81,28.66,16.58,1.903333333333333,2021-01-15,71.94,27.49,16.13,1.9763333333333333,2021-01-16,69.31,26.86,13.51,2.049333333333333,2021-01-17,70.88,28.26,12.29,2.1213333333333337,2021-01-18,64.5,29.24,13.58,2.1933333333333334,2021-01-19,63.5,28.37,11.9,2.264333333333333,2021-01-20,62.06,29.61,11.43,2.3353333333333333,2021-01-21,69.62,28.29,16.56,2.406333333333333,2021-01-22,71.75,26.11,17.62,2021-01-15,37.0,1.9762574004635085,900
6,GRANADA,2020-12-11,15.56,28.7,75.32285714285715,40086.0,0.041,3.8536585365853657,0.0071333037,288.0,2020-12-18,13.51,29.16,69.99,39682.0,0.158,0.148,1.007833158708776,0.93670887,2020-12-18,13.51,29.16,69.99,39328.0,0.385,0.473,1.8909345,1.2285714,2020-12-18,13.51,29.16,69.99,39117.0,0.739,1.006,2.417302798982188,1.361299,2020-12-18,13.51,29.16,69.99,38991.0,1.175,1.768,2.7316270019458164,1.5046809,2020-12-18,13.51,29.16,69.99,38857.0,1.724,2.747,3.065908297161104,1.5933875,1.7865,2021-01-16,69.31,26.86,13.51,1.865,2021-01-17,70.88,28.26,12.29,1.94325,2021-01-18,64.5,29.24,13.58,2.01625,2021-01-19,63.5,28.37,11.9,2.08825,2021-01-20,62.06,29.61,11.43,2.16025,2021-01-21,69.62,28.29,16.56,2.23125,2021-01-22,71.75,26.11,17.62,2.30225,2021-01-23,73.06,28.69,17.6,2.37325,2021-01-24,73.19,28.04,16.08,2021-01-18,38.0,2.060040517364456,900
7,VILLA GLORIA,2020-12-12,15.56,28.7,74.74142857142859,14790.0,0.039,4.512820512820513,0.017406324,262.0,2020-12-19,13.51,29.16,70.41857142857143,14461.0,0.176,0.1520999999999999,2.2244759972954697,0.8642045,2020-12-19,13.51,29.16,70.41857142857143,14316.0,0.397,0.475,3.204868,1.1964736,2020-12-19,13.51,29.16,70.41857142857143,14236.0,0.758,1.0087000000000002,3.745774171737661,1.3307388,2020-12-19,13.51,29.16,70.41857142857143,14188.0,1.262,1.773,4.070317782285328,1.4049128,2020-12-19,13.51,29.16,70.41857142857143,14151.0,1.809,2.7546,4.320486815415822,1.5227197,1.87925,2021-01-17,70.88,28.26,12.29,1.98925,2021-01-18,64.5,29.24,13.58,2.06575,2021-01-19,63.5,28.37,11.9,2.13875,2021-01-20,62.06,29.61,11.43,2.21075,2021-01-21,69.62,28.29,16.56,2.28275,2021-01-22,71.75,26.11,17.62,2.35375,2021-01-23,73.06,28.69,17.6,2.42475,2021-01-24,73.19,28.04,16.08,2.49575,2021-01-25,69.69,28.37,16.7,2021-01-18,37.0,2.04553177607981,1750
8,VILLA GLORIA,2020-12-15,13.51,29.16,70.18714285714286,9486.0,0.038,4.657894736842105,0.014850971,143.0,2020-12-22,14.56,28.64,73.58857142857143,9314.0,0.177,0.1482,1.8131983976386252,0.83728814,2020-12-22,14.56,28.64,73.58857142857143,9245.0,0.4,0.4738,2.5405862,1.1845,2020-12-22,14.56,28.64,73.58857142857143,9176.0,0.762,1.007,3.2679738562091507,1.3215224,2020-12-22,14.56,28.64,73.58857142857143,9155.0,1.249,1.7695,3.489352730339448,1.4167334,2020-12-22,14.56,28.64,73.58857142857143,9128.0,1.824,2.693,3.7739827113641153,1.4764254,1.901333333333333,2021-01-20,62.06,29.61,11.43,1.9753333333333327,2021-01-21,69.62,28.29,16.56,2.0483333333333333,2021-01-22,71.75,26.11,17.62,2.1213333333333333,2021-01-23,73.06,28.69,17.6,2.1933333333333334,2021-01-24,73.19,28.04,16.08,2.2653333333333334,2021-01-25,69.69,28.37,16.7,2.3363333333333336,2021-01-26,70.5,28.02,14.97,2.4073333333333333,2021-01-27,66.56,28.99,15.65,2.478333333333333,2021-01-28,63.12,29.1,14.92,2021-01-20,36.0,1.9075543290789927,1750
9,VILLA ESTHER,2020-12-15,13.51,29.16,70.18714285714286,45594.0,0.041,4.170731707317073,0.013693296,633.0,2020-12-22,14.56,28.64,73.58857142857143,44786.0,0.171,0.151,1.7721630039040224,0.88304096,2020-12-22,14.56,28.64,73.58857142857143,44476.0,0.421,0.475,2.452077,1.128266,2020-12-22,14.56,28.64,73.58857142857143,44233.0,0.792,1.008,2.9850418914769485,1.2727273,2020-12-22,14.56,28.64,73.58857142857143,44086.0,1.25,1.776,3.307452735008992,1.4208,2020-12-22,14.56,28.64,73.58857142857143,43985.0,1.811,2.81,3.5289731104969952,1.551629,1.865375,2021-01-20,62.06,29.61,11.43,1.927375,2021-01-21,69.62,28.29,16.56,2.000375,2021-01-22,71.75,26.11,17.62,2.073375,2021-01-23,73.06,28.69,17.6,2.145375,2021-01-24,73.19,28.04,16.08,2.217375,2021-01-25,69.69,28.37,16.7,2.288375,2021-01-26,70.5,28.02,14.97,2.359375,2021-01-27,66.56,28.99,15.65,2.430375,2021-01-28,63.12,29.1,14.92,2021-01-21,37.0,1.9048010828461697,940
