,GRANJA,FECHA RECEPCION,t2m_min_weekFR,t2m_max_weekFR,rh2m_mean_WFR,N°INICIAL,PESO  M,GANA M,% DESCARTE SEM 1,DESCARTE SEM 1,FECHA SEM 1,t2m_min_weekF1,t2m_max_weekF1,rh2m_mean_WF1,SALDO AVES SEM 1,PESO M SEM 1,CONS  SEM 1,MORT SEM 1,CONV SEM 1,FECHA SEM 2,t2m_min_weekF2,t2m_max_weekF2,rh2m_mean_WF2,SALDO AVES SEM 2,PESO M SEM 2,CONS  SEM 2,MORT SEM 2,CONV SEM 2,FECHA SEM 3,t2m_min_weekF3,t2m_max_weekF3,rh2m_mean_WF3,SALDO AVES SEM 3,PESO M SEM 3,CONS  SEM 3,MORT SEM 3,CONV SEM 3,FECHA SEM 4,t2m_min_weekF4,t2m_max_weekF4,rh2m_mean_WF4,SALDO AVES SEM 4,PESO M SEM 4,CONS  SEM 4,MORT SEM 4,CONV SEM 4,FECHA SEM 5,t2m_min_weekF5,t2m_max_weekF5,rh2m_mean_WF5,SALDO AVES SEM 5,PESO M SEM 5,CONS  SEM 5,MORT SEM 5,CONV SEM 5,36PESO,36DATE,rh2m_36,t2m_max_36,t2m_min_36,37PESO,37DATE,rh2m_37,t2m_max_37,t2m_min_37,38PESO,38DATE,rh2m_38,t2m_max_38,t2m_min_38,39PESO,39DATE,rh2m_39,t2m_max_39,t2m_min_39,40PESO,40DATE,rh2m_40,t2m_max_40,t2m_min_40,41PESO,41DATE,rh2m_41,t2m_max_41,t2m_min_41,42PESO,42DATE,rh2m_42,t2m_max_42,t2m_min_42,43PESO,43DATE,rh2m_43,t2m_max_43,t2m_min_43,44PESO,44DATE,rh2m_44,t2m_max_44,t2m_min_44,FECHA_FAENA,EDAD,PESO REAL,m.s.n.m
0,TORCOROMA,2020-11-27,15.94,28.07,80.17857142857143,39267.0,0.038,4.131578947368421,0.012523576,498.0,2020-12-04,14.44,28.88,76.50142857142858,38779.0,0.157,0.142,1.2427738304428655,0.9044586,2020-12-04,14.44,28.88,76.50142857142858,38190.0,0.38,0.4556,2.7427611,1.1989473,2020-12-04,14.44,28.88,76.50142857142858,37751.0,0.694,0.9997,3.860748210965951,1.4404899,2020-12-04,14.44,28.88,76.50142857142858,37632.0,1.216,1.7905,4.1638016655206656,1.4724506,2020-12-04,14.44,28.88,76.50142857142858,37539.0,1.902,2.8285,4.400641760256704,1.4871188,1.957,2021-01-02,80.5,26.1,16.08,2.049,2021-01-03,79.62,26.18,15.49,2.1875,2021-01-04,82.0,25.19,15.33,2.2805,2021-01-05,71.62,25.7,11.9,2.376,2021-01-06,72.88,24.26,14.95,2.52,2021-01-07,82.56,23.94,16.52,2.641,2021-01-08,80.56,25.03,15.66,2.751,2021-01-09,77.25,26.15,15.83,2.84,2021-01-10,78.0,26.36,15.28,2021-01-07,41.0,2.591233880414693,900
1,PORVENIR,2020-11-28,15.94,28.07,79.40142857142858,10710.0,0.037,4.405405405405405,0.02654063,292.0,2020-12-05,14.44,28.88,76.13571428571427,10382.0,0.163,0.15,3.0625583566760035,0.9202454,2020-12-05,14.44,28.88,76.13571428571427,10274.0,0.315,0.451,4.070962,1.431746,2020-12-05,14.44,28.88,76.13571428571427,10204.0,0.642,0.944,4.724556489262372,1.470405,2020-12-05,14.44,28.88,76.13571428571427,10082.0,1.101,1.686,5.863678804855275,1.5313351,2020-12-05,14.44,28.88,76.13571428571427,10066.0,1.673,2.801,6.0130718954248366,1.6742378,1.8096666666666668,2021-01-03,79.62,26.18,15.49,1.819,2021-01-04,82.0,25.19,15.33,1.893,2021-01-05,71.62,25.7,11.9,1.984,2021-01-06,72.88,24.26,14.95,2.075,2021-01-07,82.56,23.94,16.52,2.1426666666666665,2021-01-08,80.56,25.03,15.66,2.228,2021-01-09,77.25,26.15,15.83,2.317,2021-01-10,78.0,26.36,15.28,2.406,2021-01-11,74.38,27.24,15.53,2021-01-05,38.0,1.8923611111111112,980
2,BELLAVISTA,2020-12-01,15.94,28.07,77.62571428571428,46920.0,0.043,3.627906976744186,0.0020206317,95.0,2020-12-08,14.44,28.88,76.52857142857142,46160.0,0.156,0.136,1.619778346121057,0.8717949,2020-12-08,14.44,28.88,76.52857142857142,45901.0,0.389,0.463,2.1717818,1.1902313,2020-12-08,14.44,28.88,76.52857142857142,45694.0,0.73,1.022,2.6129582267689684,1.4,2020-12-08,14.44,28.88,76.52857142857142,45518.0,1.217,1.837,2.9880647911338447,1.5094495,2020-12-08,14.44,28.88,76.52857142857142,45393.0,1.939,2.963,3.254475703324808,1.5281073,2.0113333333333334,2021-01-06,72.88,24.26,14.95,2.1025555555555555,2021-01-07,82.56,23.94,16.52,2.2482222222222226,2021-01-08,80.56,25.03,15.66,2.343222222222222,2021-01-09,77.25,26.15,15.83,2.438222222222222,2021-01-10,78.0,26.36,15.28,2.5332222222222223,2021-01-11,74.38,27.24,15.53,2.658555555555556,2021-01-12,70.94,27.79,14.33,2.7528888888888887,2021-01-13,64.62,28.83,13.94,2.848777777777778,2021-01-14,67.81,28.66,16.58,2021-01-14,44.0,2.916283412591087,1100
3,ROBLE,2020-12-05,14.05,28.1,76.34,41514.0,0.038,3.426315789473684,0.018303065,774.0,2020-12-12,14.82,28.09,74.99142857142859,40572.0,0.1301999999999999,0.1148575372177856,2.2691140338199163,0.88216233,2020-12-12,14.82,28.09,74.99142857142859,40208.0,0.3301,0.4218066056506168,3.1459267,1.2778146,2020-12-12,14.82,28.09,74.99142857142859,39730.0,0.6003999999999999,0.910646866347848,4.297345473816062,1.5167336,2020-12-12,14.82,28.09,74.99142857142859,39400.0,1.1304,1.7045685,5.092258033434504,1.507934,2020-12-12,14.82,28.09,74.99142857142859,38886.0,1.830733333333333,2.8184950882065527,6.330394565688684,1.5395443,1.915,2021-01-10,79.06,24.87,13.76,2.007,2021-01-11,76.75,25.96,14.48,2.0884,2021-01-12,72.62,26.49,13.82,2.206,2021-01-13,68.88,27.3,12.9,2.2882,2021-01-14,70.75,27.37,14.37,2.4146,2021-01-15,72.44,27.01,15.29,2.5084,2021-01-16,74.56,25.9,14.55,2.5984000000000003,2021-01-17,70.5,27.59,13.15,2.6884,2021-01-18,67.5,28.13,14.39,2021-01-13,39.0,2.310649750096117,1919
4,ROBLE,2020-12-08,14.05,28.1,76.80428571428571,62118.0,0.039,3.5366300366300365,0.012055474,758.0,2020-12-15,12.57,28.44,70.92714285714285,61184.0,0.1379285714285714,0.1134283472803347,1.503589941723816,0.82237023,2020-12-15,12.57,28.44,70.92714285714285,60847.0,0.3528571428571428,0.4279586503853929,2.0461059,1.2128383,2020-12-15,12.57,28.44,70.92714285714285,60155.0,0.6462142857142856,0.9239464716149944,3.160114620560868,1.4297835,2020-12-15,12.57,28.44,70.92714285714285,59755.0,1.1457142857142857,1.7273868,3.8040503557744936,1.5076942,2020-12-15,12.57,28.44,70.92714285714285,59112.0,1.8557142857142856,2.853227771010962,4.839177050130397,1.5375361,1.961142857142857,2021-01-13,68.88,27.3,12.9,2.048285714285714,2021-01-14,70.75,27.37,14.37,2.121142857142857,2021-01-15,72.44,27.01,15.29,2.212142857142857,2021-01-16,74.56,25.9,14.55,2.303142857142857,2021-01-17,70.5,27.59,13.15,2.483714285714285,2021-01-18,67.5,28.13,14.39,2.5808571428571425,2021-01-19,66.0,27.69,12.02,2.669,2021-01-20,63.06,28.65,10.51,2.758,2021-01-21,70.56,27.19,14.61,2021-01-19,42.0,2.5638741734399724,1919
5,GRANADA,2020-12-09,14.44,28.88,75.48428571428572,23154.0,0.038,4.026315789473684,0.00979344,229.0,2020-12-16,13.51,29.16,70.83,22851.0,0.153,0.147,1.308629178543664,0.9607843,2020-12-16,13.51,29.16,70.83,22511.0,0.376,0.483,2.777058,1.2845745,2020-12-16,13.51,29.16,70.83,22302.0,0.758,1.058,3.679709769370304,1.3957784,2020-12-16,13.51,29.16,70.83,22197.0,1.291,1.906,4.1331951282715735,1.4763749,2020-12-16,13.51,29.16,70.83,22094.0,1.911,3.012,4.578042670812819,1.5761381,2.0236666666666667,2021-01-14,67.81,28.66,16.58,2.103666666666667,2021-01-15,71.94,27.49,16.13,2.1956666666666664,2021-01-16,69.31,26.86,13.51,2.286666666666666,2021-01-17,70.88,28.26,12.29,2.3703333333333334,2021-01-18,64.5,29.24,13.58,2.435666666666666,2021-01-19,63.5,28.37,11.9,2.6043333333333334,2021-01-20,62.06,29.61,11.43,2.696,2021-01-21,69.62,28.29,16.56,2.785,2021-01-22,71.75,26.11,17.62,2021-01-21,42.0,2.786718052606033,900
6,ROBLE,2020-12-10,14.05,28.1,75.25999999999999,8772.0,0.038,3.026315789473684,0.010044013,89.0,2020-12-17,12.57,28.44,70.98,8662.0,0.115,0.0969752943892865,1.253989968080255,0.84326345,2020-12-17,12.57,28.44,70.98,8545.0,0.298,0.3768285547103569,2.5877793,1.2645253,2020-12-17,12.57,28.44,70.98,8418.0,0.5925,0.817296269897838,4.035567715458276,1.379403,2020-12-17,12.57,28.44,70.98,8351.0,1.1005,1.5662795,4.799361605107159,1.4232435,2020-12-17,12.57,28.44,70.98,8229.0,1.7715,2.6759022967553774,6.19015047879617,1.510529,2.029,2021-01-15,72.44,27.01,15.29,2.121,2021-01-16,74.56,25.9,14.55,2.213,2021-01-17,70.5,27.59,13.15,2.304,2021-01-18,67.5,28.13,14.39,2.478,2021-01-19,66.0,27.69,12.02,2.568,2021-01-20,63.06,28.65,10.51,2.658,2021-01-21,70.56,27.19,14.61,2.747,2021-01-22,73.5,26.28,16.05,2.836,2021-01-23,75.06,27.57,15.5,2021-01-18,40.0,2.2697105754655693,1919
7,GRANADA,2020-12-11,15.56,28.7,75.32285714285715,42126.0,0.041,3.7804878048780486,0.00784286,333.0,2020-12-18,13.51,29.16,69.99,41679.0,0.155,0.144,1.0611024070645207,0.92903227,2020-12-18,13.51,29.16,69.99,41357.0,0.39,0.48,1.8254759,1.2307693,2020-12-18,13.51,29.16,69.99,41073.0,0.768,1.053,2.499643925366757,1.3710938,2020-12-18,13.51,29.16,69.99,40930.0,1.245,1.892,2.839101742391872,1.5196787,2020-12-18,13.51,29.16,69.99,40742.0,1.902,2.995,3.285381949389925,1.5746583,1.999,2021-01-16,69.31,26.86,13.51,2.091,2021-01-17,70.88,28.26,12.29,2.275,2021-01-18,64.5,29.24,13.58,2.36575,2021-01-19,63.5,28.37,11.9,2.48575,2021-01-20,62.06,29.61,11.43,2.5765,2021-01-21,69.62,28.29,16.56,2.66325,2021-01-22,71.75,26.11,17.62,2.75325,2021-01-23,73.06,28.69,17.6,2.8432500000000003,2021-01-24,73.19,28.04,16.08,2021-01-25,45.0,3.0382894082546,900
8,GRANADA,2020-12-12,15.56,28.7,74.74142857142859,16116.0,0.036,4.055555555555555,0.006105458,99.0,2020-12-19,13.51,29.16,70.41857142857143,15968.0,0.146,0.142,0.9183420203524448,0.9726027,2020-12-19,13.51,29.16,70.41857142857143,15725.0,0.375,0.478,2.4261603,1.2746667,2020-12-19,13.51,29.16,70.41857142857143,15502.0,0.747,1.06,3.80987838173244,1.4190093,2020-12-19,13.51,29.16,70.41857142857143,15386.0,1.251,1.905,4.529659965251923,1.5227817,2020-12-19,13.51,29.16,70.41857142857143,15203.0,1.773,2.765,5.665177463390419,1.5595037,1.9495,2021-01-17,70.88,28.26,12.29,2.1015,2021-01-18,64.5,29.24,13.58,2.1755,2021-01-19,63.5,28.37,11.9,2.275,2021-01-20,62.06,29.61,11.43,2.3665000000000003,2021-01-21,69.62,28.29,16.56,2.4715,2021-01-22,71.75,26.11,17.62,2.563,2021-01-23,73.06,28.69,17.6,2.654,2021-01-24,73.19,28.04,16.08,2.745,2021-01-25,69.69,28.37,16.7,2021-01-23,42.0,2.521732985130028,900
9,VILLA GLORIA,2020-12-12,15.56,28.7,74.74142857142859,17238.0,0.039,4.641025641025641,0.020401204,359.0,2020-12-19,13.51,29.16,70.41857142857143,16800.0,0.181,0.1536,2.540898016011138,0.8486188,2020-12-19,13.51,29.16,70.41857142857143,16658.0,0.394,0.4574,3.3646595,1.1609137,2020-12-19,13.51,29.16,70.41857142857143,16584.0,0.744,0.9986,3.7939436129481376,1.3422043,2020-12-19,13.51,29.16,70.41857142857143,16515.0,1.275,1.802,4.194222067525235,1.4133333,2020-12-19,13.51,29.16,70.41857142857143,16462.0,1.838,2.8405,4.501682329736628,1.5454298,1.9378,2021-01-17,70.88,28.26,12.29,2.0346,2021-01-18,64.5,29.24,13.58,2.1204,2021-01-19,63.5,28.37,11.9,2.2172,2021-01-20,62.06,29.61,11.43,2.3064,2021-01-21,69.62,28.29,16.56,2.4248,2021-01-22,71.75,26.11,17.62,2.5308,2021-01-23,73.06,28.69,17.6,2.6282,2021-01-24,73.19,28.04,16.08,2.7256,2021-01-25,69.69,28.37,16.7,2021-01-20,39.0,2.2604327666151467,1750
