DIVIPOLA 2011  (VIVIENDAS, HOGARES Y PERSONAS 2005);Clase;Departamento;Municipio;Nombre centro;Tipo;Manzanas;Viviendas;Hogares;Personas;Grados;Minutos;Segundos;Latitud;grados;minutos;segundos;Longitud;geo_point
270012060;2;CHOCO;QUIBDO;VILLA DEL ROSARIO;C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
270012061;2;CHOCO;QUIBDO;WINANDO;C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
270012063;2;CHOCO;QUIBDO;BARRANCO;CP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
500012019;2;META;VILLAVICENCIO;APIAY;CP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
053682003;2;ANTIOQUIA;JERICO;LA CASCADA;CAS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
500012021;2;META;VILLAVICENCIO;ARGENTINA;CP;4.0;16.0;16.0;64.0;-73.0;38.0;19.03189308;;4.0;12.0;2.888790876;4.20080244191;-73.6386199703,4.20080244191
053683000;3;ANTIOQUIA;JERICO;JERICO;R;0.0;1566.0;1237.0;5007.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
053762003;2;ANTIOQUIA;LA CEJA;SAN JOSE;CAS;10.0;56.0;41.0;165.0;-75.0;29.0;18.67418664;;5.0;57.0;55.138778568;5.96531632738;-75.4885206074,5.96531632738
270062007;2;CHOCO;ACANDI;SAN FRANCISCO;CAS;5.0;48.0;32.0;121.0;-77.0;6.0;36.14097852;;8.0;21.0;43.359621444;8.36204433929;-77.1100391607,8.36204433929
270062009;2;CHOCO;ACANDI;CHUGANDI;C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
270062010;2;CHOCO;ACANDI;SAPZURRO;C;13.0;80.0;58.0;164.0;-77.0;20.0;52.53128952;;8.0;38.0;51.564385968;8.64765677388;-77.3479253582,8.64765677388
